	participantId	max_overall_interacted_attr
0	2JGqWIJXzVqU	age
1	3Sp3rSvqFsh6	political_experience
2	64J6C4DDhBTL	occupation
3	6oheLF74hlXc	gender
4	8D64yb05oRDt	age
5	8cPi4CoiSpNN	policy_strength_ban_abortion_after_6_weeks
6	CnOeEROhOZaX	policy_strength_ban_abortion_after_6_weeks
7	ICIog47oVtN8	party
8	Ms0iLF9ONsEk	age
9	PQYxIfFvPDoT	political_experience
10	XqYJiar2m2Vh	political_experience
11	YBSfFKUphtYM	political_experience
12	YazCemZZbIdK	age
13	ZY1tfYLxtiya	political_experience
14	gPCb7Uy0pEM0	occupation
15	hoMzF8Cf1Y5j	age,policy_strength_ban_abortion_after_6_weeks,political_experience
16	lPpxNz1aVtYh	age
17	ml0S3iEwySQR	age
18	pCrA474tRx8G	occupation
19	pgz1HXaRPEea	age,occupation
20	qFIltQnZAor7	age
21	r9cpBWj7l0iV	political_experience
22	t4bcBwMLxPc6	occupation
23	xrOuOynQhVbO	political_experience
