participant_id	interaction_type	app_type
531UXi27EEuE	axes_attribute_changed	1
531UXi27EEuE	mouseout	1
531UXi27EEuE	mouseout_from_list	1
531UXi27EEuE	mouseover	1
531UXi27EEuE	mouseover_from_list	1
5iOVxCAHC8yo	axes_attribute_changed	1
6XiVahmAR94D	mouseout_from_list	17
6XiVahmAR94D	mouseover_from_list	17
8oiaPu0yRfxr	add_to_list_via_scatterplot_click	5
8oiaPu0yRfxr	change_attribute_distribution	1
8oiaPu0yRfxr	filter_changed	30
8oiaPu0yRfxr	mouseout	27
8oiaPu0yRfxr	mouseout_from_list	16
8oiaPu0yRfxr	mouseover	27
8oiaPu0yRfxr	mouseover_from_list	20
8oiaPu0yRfxr	remove_from_list_via_list_item_click	5
94ciAzx6D4Bt	mouseout_from_list	4
94ciAzx6D4Bt	mouseover_from_list	4
NMvdaYNL49Mt	mouseout_from_list	1
NMvdaYNL49Mt	mouseover_from_list	1
QBeuqPWNLnaC	add_to_list_via_scatterplot_click	1
QBeuqPWNLnaC	filter_changed	4
QBeuqPWNLnaC	mouseout	6
QBeuqPWNLnaC	mouseout_from_list	47
QBeuqPWNLnaC	mouseover	6
QBeuqPWNLnaC	mouseover_from_list	48
QBeuqPWNLnaC	remove_from_list_via_list_item_click	1
QQx6IjEb7ps6	filter_changed	2
QQx6IjEb7ps6	mouseout	5
QQx6IjEb7ps6	mouseout_from_list	2
QQx6IjEb7ps6	mouseover	5
QQx6IjEb7ps6	mouseover_from_list	2
WmtJlhR8J1J0	add_to_list_via_scatterplot_click	1
WmtJlhR8J1J0	filter_changed	2
WmtJlhR8J1J0	mouseout	2
WmtJlhR8J1J0	mouseout_from_list	13
WmtJlhR8J1J0	mouseover	2
WmtJlhR8J1J0	mouseover_from_list	14
WmtJlhR8J1J0	remove_from_list_via_list_item_click	1
XWUiQs4zpxIx	add_to_list_via_scatterplot_click	5
XWUiQs4zpxIx	axes_attribute_changed	17
XWUiQs4zpxIx	filter_changed	25
XWUiQs4zpxIx	mouseout	51
XWUiQs4zpxIx	mouseout_from_list	67
XWUiQs4zpxIx	mouseover	51
XWUiQs4zpxIx	mouseover_from_list	72
XWUiQs4zpxIx	remove_from_list_via_list_item_click	5
dxNzpa5cz1lD	add_to_list_via_scatterplot_click	3
dxNzpa5cz1lD	mouseout	42
dxNzpa5cz1lD	mouseout_from_list	7
dxNzpa5cz1lD	mouseover	42
dxNzpa5cz1lD	mouseover_from_list	10
dxNzpa5cz1lD	remove_from_list_via_list_item_click	3
f0eJoDsKT8si	mouseout_from_list	1
f0eJoDsKT8si	mouseover_from_list	1
fQgKCA4w7L0D	mouseout_from_list	1
fQgKCA4w7L0D	mouseover_from_list	1
g2c4CLlqIc97	filter_changed	7
g2c4CLlqIc97	mouseout	20
g2c4CLlqIc97	mouseout_from_list	34
g2c4CLlqIc97	mouseover	20
g2c4CLlqIc97	mouseover_from_list	34
m8YdCZB7euiy	mouseout_from_list	1
m8YdCZB7euiy	mouseover_from_list	1
nY9fN95eZQaX	mouseout_from_list	1
nY9fN95eZQaX	mouseover_from_list	1
oxTwBvZsd5HT	filter_changed	2
oxTwBvZsd5HT	mouseout	3
oxTwBvZsd5HT	mouseout_from_list	13
oxTwBvZsd5HT	mouseover	3
oxTwBvZsd5HT	mouseover_from_list	13
q4Eycyoegu9K	mouseout_from_list	41
q4Eycyoegu9K	mouseover_from_list	41
xGba4x11AgqF	add_to_list_via_scatterplot_click	1
xGba4x11AgqF	axes_attribute_changed	1
xGba4x11AgqF	filter_changed	1
xGba4x11AgqF	mouseout	2
xGba4x11AgqF	mouseout_from_list	8
xGba4x11AgqF	mouseover	2
xGba4x11AgqF	mouseover_from_list	9
xGba4x11AgqF	remove_from_list_via_list_item_click	1
