	participantId	age	education	gender	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion
0	0YhSRQx5Cdp5	1.0	8.0	12.0	5.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0
1	28brBef2NP77	1.0	11.0	8.0	0.0	6.0	2.0	2.0	3.0	2.0	0.0	2.0	2.0	1.0	0.0
2	531UXi27EEuE	1.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	7.0	1.0	0.0
3	5iOVxCAHC8yo	2.0	7.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
4	6XiVahmAR94D	1.0	0.0	7.0	0.0	0.0	6.0	0.0	3.0	3.0	5.0	4.0	0.0	3.0	0.0
5	8oiaPu0yRfxr	3.0	5.0	8.0	17.0	4.0	2.0	5.0	1.0	2.0	1.0	3.0	0.0	14.0	8.0
6	94ciAzx6D4Bt	6.0	0.0	3.0	0.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
7	9xOrWE8cZEqz	12.0	3.0	9.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	10.0
8	CjsOuAfO5NuJ	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	6.0	2.0	0.0
9	NMvdaYNL49Mt	1.0	12.0	4.0	1.0	16.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	12.0	4.0
10	QBeuqPWNLnaC	1.0	0.0	2.0	1.0	15.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0
11	QQx6IjEb7ps6	3.0	2.0	5.0	1.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
12	WmtJlhR8J1J0	1.0	0.0	8.0	10.0	10.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
13	XWUiQs4zpxIx	1.0	3.0	9.0	23.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
14	dxNzpa5cz1lD	1.0	11.0	6.0	38.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	17.0
15	eCcNRmXRTXP6	1.0	4.0	9.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0
16	f0eJoDsKT8si	1.0	1.0	0.0	2.0	0.0	3.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0
17	fQgKCA4w7L0D	1.0	4.0	0.0	2.0	1.0	3.0	6.0	4.0	5.0	9.0	7.0	5.0	12.0	0.0
18	g2c4CLlqIc97	1.0	4.0	8.0	2.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0
19	m8YdCZB7euiy	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
20	nY9fN95eZQaX	7.0	0.0	8.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0
21	oxTwBvZsd5HT	6.0	2.0	3.0	0.0	0.0	2.0	3.0	0.0	2.0	0.0	3.0	0.0	3.0	0.0
22	q4Eycyoegu9K	8.0	0.0	5.0	0.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0
23	xGba4x11AgqF	4.0	2.0	13.0	17.0	12.0	4.0	0.0	0.0	3.0	2.0	0.0	1.0	2.0	7.0
